path,phash,whash
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00033_front.webp,b549c1f7147e6063,7c6b41034363677e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00034_back.webp,97cc6531516e44cf,007f3f3e3c3e3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00034_front.webp,a466d1d9649753c6,66c32502430fff6e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00035_back.webp,bd6ac494d19744d3,7e8181818f9b8f7a
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00035_front.webp,bf92c433c14b458f,7e87878f87838172
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00036_back.webp,80c25bb46ef97b24,007e7e7e4e4e7e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00036_front.webp,948571b854f3c7a6,0e173f3f3e1f0340
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00037_back.webp,97866d717244de61,421f3e7e7e3c1842
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00037_front.webp,95e05876c5c1717e,424f0f7e3e061e1e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00038_back.webp,9c864d3dc56d916c,387f7e7e7e0e0008
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00038_front.webp,8cf1b74871653497,ffffbf001010103f
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00039_back.webp,954a5574456f544f,007f013f7f427e0e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00039_front.webp,8561d0ce45795e6e,7e433d23223d436e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00040_back.webp,9c3247692f271cd6,007c7e1f1e1c7e38
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00040_front.webp,90324e656fb33e92,001c3e6f7e3c7e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00041_back.webp,95d34e816a692fd2,003e7e7e7e3e1c10
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00041_front.webp,85c156316e4f2dda,003e7e7e7e3e1c10
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00042_back.webp,928f65721a3ecc1e,18767ebc3c7e6600
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00042_front.webp,957050cf4b972dd8,184206a7ff3e7e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00043_back.webp,95c9522e6b2c6f31,187e5e1b1b1e5e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00043_front.webp,954b5aa86a3f29e1,083c7e1c7e7e3e08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00044_back.webp,956b5a2d6a2d292d,003c7e7e3e3e3e08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00044_front.webp,919e46950b716d76,187e42dbdb427e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00045_back.webp,90da47356f913cca,187c5ec7c14e7e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00045_front.webp,959342696a7c3cb6,087e3e3f1f1e1e08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00046_back.webp,916142df0acc6dd7,186e4a819f7e7e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00046_front.webp,84e453934e6c39b7,187e52d3c35a7e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00047_back.webp,95b04a366a9a6dda,003e7e3e3e3e3c18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00047_front.webp,95c85a956a1e395e,083e3e3e7e7e3c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00048_back.webp,95c95a176a66296e,003c7e7e7e3e3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00048_front.webp,95485a270b9f7974,083c42ffe7663e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00049_back.webp,958753394ec66b58,183e7e7f1d3e1c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00049_front.webp,95915e7e4a942bca,081e7e7f3c3e3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00050_back.webp,90c95e242bdb7936,10187e7f7e7e1c10
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00050_front.webp,95c64c716a389bce,003e7e3e3e7e1c18
